sqft,sale_price,sale_price_pred
2416,208500,215635.4687
2240,181500,202432.1633
2272,223500,204832.7643
1933,140000,179401.3976
2853,250000,248418.6758
2094,143000,191479.4213
3063,307000,264172.6198
2949,200000,255620.4788
1774,129900,167473.4115
1928,118000,179026.3037
1946,129500,180376.6418
3322,345000,283602.484
1649,144000,158096.0639
1494,279500,146468.1529
1986,157000,183377.393
854,132000,98456.13326
1582,149000,153069.8056
1296,90000,131614.4343
1760,159000,166423.1485
1843,139000,172649.7073
2376,325300,212634.7174
1108,139400,117510.9035
1795,230000,169048.8059
1900,129900,176925.7778
1248,154000,128013.5328
1600,256300,154420.1436
1134,134800,119461.3918
2922,306000,253594.9717
2877,207500,250219.1266
520,68500,73399.86051
1317,40000,133189.8287
1228,149350,126513.1572
1234,179900,126963.2699
2718,165500,238291.1404
2714,277500,237991.0653
2452,309000,218336.1448
1097,145000,116685.697
2510,153000,222687.2341
1788,109000,168523.6744
1152,82000,120811.7299
1967,160000,181952.0361
2295,170000,206558.1962
1631,144000,156745.7258
1218,130250,125762.9694
1329,141000,134090.0541
2208,319900,200031.5623
3500,239686,296955.8269
1680,249700,160421.6461
1452,113000,143317.3641
1718,127000,163272.3598
1652,177000,158321.1202
816,114500,95605.41959
920,110000,103407.3728
3652,385000,308358.6816
1744,130000,165222.8481
1915,180500,178051.0596
2388,172500,213534.9428
1720,196500,163422.3973
2945,438780,255320.4037
1412,124900,140316.6129
2099,158000,191854.5152
1111,101000,117735.9599
1394,202500,138966.2748
1710,140000,162672.2095
2773,219500,242417.1734
2473,317000,219911.5392
3119,180000,268373.6715
2492,226000,221336.896
747,80000,90429.12372
2890,225000,251194.3707
4103,244000,342192.1517
1410,129500,140166.5753
1718,185000,163272.3598
1406,144900,139866.5002
1605,107400,154795.2375
1450,91000,143167.3265
1180,135750,122912.2558
1621,127000,155995.538
1768,136500,167023.2988
1230,110000,126663.1948
2590,193500,228688.7365
2538,153500,224787.7599
1596,245000,154120.0685
1065,126500,114285.096
1474,168500,144967.7773
2417,260000,215710.4875
1560,174000,151419.3924
1224,164500,126213.0821
1013,85000,110384.1194
1578,123600,152769.7305
1040,109900,112409.6265
1835,98600,172049.5571
1677,163500,160196.5898
3337,133900,284727.7657
2434,204750,216985.8067
1780,185000,167923.5242
2750,214000,240691.7414
1480,94750,145417.89
943,83000,105132.8047
1794,128950,168973.7871
2810,205000,245192.8683
1732,178000,164322.6227
1535,118964,149543.9229
1226,198900,126363.1197
2042,169500,187578.4447
1992,250000,183827.5057
1047,100000,112934.7579
893,115000,101381.8657
1517,115000,148193.5848
2549,190000,225612.9665
2299,136900,206858.2713
1680,180000,160421.6461
3680,383970,310459.2074
2294,217000,206483.1774
3094,259500,266498.202
1877,176000,175200.3459
1262,139000,129063.7958
1125,155000,118786.2228
4692,320000,386378.2135
1456,163990,143617.4392
1926,180000,178876.2661
1123,100000,118636.1853
1650,136000,158171.0827
1499,153900,146843.2468
1586,181000,153369.8807
1010,84500,110159.063
1078,128000,115260.3401
956,87000,106108.0489
1860,155000,173925.0266
1620,150000,155920.5193
2602,226000,229588.9619
2749,244000,240616.7226
1732,150750,164322.6227
2301,220000,207008.3089
2291,180000,206258.1211
1682,174000,160571.6837
1909,143000,177600.9469
1959,171000,181351.8859
2520,230000,223437.4219
2585,231500,228313.6426
1296,115000,131614.4343
3034,260000,261997.0751
1892,166000,176325.6276
2180,204000,197931.0364
3060,125000,263947.5634
1709,130000,162597.1907
1084,105000,115710.4528
2035,222500,187053.3132
1760,141000,166423.1485
1344,115000,135215.3358
1685,122000,160796.74
3110,372402,267698.5025
2409,190000,215110.3372
1681,235000,160496.6649
1200,125000,124412.6314
1096,79000,116610.6782
1040,109500,112409.6265
1968,269500,182027.0549
2169,254900,197105.8298
2519,320000,223362.4031
1892,162500,176325.6276
3684,412500,310759.2826
2742,220000,240091.5912
882,103200,100556.6591
1986,152000,183377.393
1706,127500,162372.1344
2246,190000,202882.276
3449,325624,293129.8691
1720,183500,163422.3973
1707,228000,162447.1532
1214,128500,125462.8943
2295,215000,206558.1962
2262,239000,204082.5764
1650,163000,158171.0827
3049,184000,263122.3568
2635,243000,232064.5816
2891,211000,251269.3895
1977,172500,182702.224
4138,501837,344817.809
968,100000,107008.2743
1961,177000,181501.9235
2154,200100,195980.5481
1340,120000,134915.2607
2082,200000,190579.1959
1252,127000,128313.608
3036,475000,262147.1127
1828,173000,171524.4256
1512,135000,147818.4909
2310,153337,207683.4779
2746,286000,240391.6663
3024,315000,261246.8873
2105,184000,192304.6279
1991,192000,183752.4869
1709,130000,162597.1907
1254,127000,128463.6455
2022,148500,186078.0691
2852,311872,248343.657
3756,235000,316160.6348
1858,104000,173774.9891
2801,274900,244517.6992
1121,140000,118486.1477
1920,171500,178426.1535
1927,112000,178951.2849
1510,149000,147668.4534
1596,110000,154120.0685
1442,180500,142567.1763
1696,143900,161621.9466
1519,141000,148343.6224
3127,277000,268973.8217
1879,145000,175350.3834
1332,98000,134315.1104
1248,186000,128013.5328
2674,252678,234990.3141
1706,156000,162372.1344
1770,161750,167173.3364
1596,134450,154120.0685
2382,210000,213084.8301
1328,107000,134015.0353
2295,311500,206558.1962
1264,167240,129213.8333
1498,204900,146768.228
2267,200000,204457.6704
2102,179900,192079.5715
1388,97000,138516.1621
2448,386250,218036.0697
1302,112000,132064.547
3085,290000,265823.0329
1308,106000,132514.6597
1754,125000,165973.0359
1571,192500,152244.599
1194,148000,123962.5187
3483,403000,295680.5077
987,94500,108433.6311
1076,128200,115110.3026
2585,216500,228313.6426
1345,89500,135290.3546
1438,185500,142267.1012
2146,194500,195380.3979
1694,318000,161471.909
1581,113000,152994.7868
2644,262500,232739.7507
1195,110500,124037.5375
1440,79000,142417.1387
1217,120000,125687.9506
2805,205000,244817.7744
2801,241500,244517.6992
1928,137000,179026.3037
1375,140000,137540.918
1668,180000,159521.4207
2841,277000,247518.4505
1306,76500,132364.6221
3198,235000,274300.1552
1640,173000,157420.8949
1572,158000,152319.6178
2236,145000,202132.0882
2291,230000,206258.1211
2231,207500,201756.9942
2938,220000,254795.2722
2153,231500,195905.5294
882,97000,100556.6591
2054,176000,188478.6701
2574,276000,227488.436
1718,151000,163272.3598
1160,130000,121411.8801
764,73000,91704.443
2010,175500,185177.8437
2225,185000,201306.8816
2150,179500,195680.473
1181,120500,122987.2745
1864,148000,174225.1017
1939,266000,179851.5103
1589,241500,153594.9371
2794,290000,243992.5678
2252,139000,203332.3886
1362,124500,136565.6738
1548,205000,150519.167
1560,201000,151419.3924
984,141000,108208.5747
2121,415298,193504.9284
2414,192000,215485.4311
2403,228500,214660.2245
2167,185000,196955.7923
2218,207500,200781.7501
1468,244600,144517.6646
2005,179200,184802.7498
1250,164700,128163.5704
2334,159000,209483.9287
1472,88000,144817.7397
1350,122000,135665.4485
1396,153575,139116.3124
1919,233230,178351.1347
1926,135900,178876.2661
2008,131000,185027.8062
3058,235000,263797.5259
2929,167000,254120.1032
1822,142500,171074.313
1978,152000,182777.2427
2599,239000,229363.9055
2127,175000,193955.0411
1152,158500,120811.7299
2177,157000,197705.9801
2733,267000,239416.4221
1541,205000,149994.0356
1788,149900,168523.6744
3493,295000,296430.6955
3464,305900,294255.1508
2943,225000,255170.3661
1406,89500,139866.5002
1123,82500,118636.1853
3218,360000,275800.5308
2019,165600,185853.0127
1652,132000,158321.1202
1625,119900,156295.6132
3272,375000,279851.5449
1657,178000,158696.2141
1857,188500,173699.9703
3045,260000,262822.2817
1959,270000,181351.8859
3633,260000,306933.3248
2508,187500,222537.1965
2596,342643,229138.8492
3438,354000,292304.6625
2758,301000,241291.8917
1419,126175,140841.7443
2978,242000,257796.0234
919,87000,103332.354
3338,324000,284802.7845
1948,145250,180526.6793
2134,214500,194480.1725
1192,78000,123812.4811
1768,119000,167023.2988
1902,139000,177075.8154
2753,284000,240916.7978
2078,207000,190279.1208
2466,192000,219386.4077
3035,228950,262072.0939
3171,377426,272274.6481
2346,214000,210384.154
1834,202500,171974.5383
1800,155000,169423.8998
1908,202900,177525.9281
841,82000,97480.88911
1040,87500,112409.6265
1712,266000,162822.2471
1241,85000,127488.4014
1577,140200,152694.7117
1456,151500,143617.4392
2748,157500,240541.7039
2199,154000,199356.3933
4138,437154,344817.809
1869,318061,174600.1956
2535,190000,224562.7036
1347,95000,135440.3921
720,105900,88403.61665
1983,140000,183152.3366
1534,177500,149468.9041
1727,173000,163947.5288
2016,134000,185627.9564
1652,130000,158321.1202
2880,280000,250444.1829
1685,156000,160796.74
1904,145000,177225.853
1922,198500,178576.191
1149,118000,120586.6736
2286,190000,205883.0272
1800,147000,169423.8998
2003,159000,184652.7123
1802,165000,169573.9373
1808,132000,170024.05
1359,162000,136340.6175
1664,172400,159221.3456
1588,134432,153519.9183
1375,125000,137540.918
1747,123000,165447.9044
1928,219500,179026.3037
1254,61000,128463.6455
1212,148000,125312.8567
2466,340000,219386.4077
3301,394432,282027.0896
1800,179000,169423.8998
1909,127000,177600.9469
1301,187750,131989.5282
1797,213500,169198.8434
784,76000,93204.81861
2938,240000,254795.2722
1293,192000,131389.378
1184,81000,123212.3309
1756,125000,166123.0734
1479,191000,145342.8712
3612,426000,305357.9304
1608,119000,155020.2939
2651,215000,233264.8821
882,106500,100556.6591
1054,100000,113459.8894
1034,109000,111959.5138
1883,129000,175650.4586
1671,123000,159746.4771
2352,169500,210834.2667
1077,67000,115185.3213
2362,241000,211584.4545
2074,245500,189979.0457
1334,164990,134465.148
672,108000,84802.71517
2263,258000,204157.5952
1572,168000,152319.6178
2736,150000,239641.4785
1166,115000,121861.9928
1680,177000,160421.6461
2172,280000,197330.8862
2867,339750,249468.9388
1276,60000,130114.0587
2112,145000,192829.7593
2056,222000,188628.7076
1028,115000,111509.4011
2147,228000,195455.4167
1364,181134,136715.7114
1609,149500,155095.3127
3752,239000,315860.5597
1446,126000,142867.2514
1831,142000,171749.482
2653,206300,233414.9197
2848,215000,248043.5819
988,113000,108508.6499
3616,315000,305658.0055
1812,139000,170324.1251
1389,135000,138591.1809
3162,275000,271599.4791
1195,109008,124037.5375
1872,195400,174825.252
2417,175000,215710.4875
1374,85400,137465.8992
1198,79900,124262.5938
1836,122500,172124.5759
1604,181000,154720.2188
1125,81000,118786.2228
2046,212000,187878.5198
1118,116000,118261.0914
904,119000,102207.0723
1059,90350,113834.9833
1196,110000,124112.5562
4169,555000,347143.3912
1573,118000,152394.6366
1573,162900,152394.6366
1258,172500,128763.7207
2550,210000,225687.9853
1689,127500,161096.8151
2135,190000,194555.1913
1886,199900,175875.5149
1376,119500,137615.9368
1514,120000,147968.5285
813,110000,95380.36325
2188,280000,198531.1867
2498,204000,221787.0087
1590,210000,153669.9558
3334,188000,284502.7093
2158,175500,196280.6233
1344,98000,135215.3358
2779,256000,242867.2861
1666,161000,159371.3832
1388,110000,138516.1621
2479,263435,220361.6519
1485,155000,145792.9839
1417,62383,140691.7068
1986,188700,183377.393
1656,124000,158621.1954
1414,178740,140466.6504
2055,167000,188553.6888
2030,146500,186678.2193
1634,250000,156970.7822
2136,187000,194630.2101
1870,212000,174675.2144
1969,190000,182102.0737
1531,148000,149243.8478
3326,440000,283902.5591
2848,251000,248043.5819
1600,132500,154420.1436
2487,208900,220961.8021
2643,380000,232664.7319
3006,297000,259896.5493
1299,89471,131839.4907
3111,326000,267773.5212
3359,374000,286378.1788
2125,155000,193805.0035
2113,164000,192904.7781
1587,132500,153444.8995
1720,147000,163422.3973
1909,156000,177600.9469
2482,175000,220586.7082
3078,160000,265297.9015
1145,86000,120286.5984
1304,115000,132214.5846
1981,133000,183002.2991
1456,172785,143617.4392
1643,155000,157645.9512
886,91300,100856.7342
1215,34900,125537.9131
4459,430000,368898.8376
2149,184000,195605.4542
1349,130000,135590.4297
1023,120000,111134.3072
1574,113000,152469.6553
2168,226700,197030.8111
1912,140000,177826.0032
3048,289000,263047.3381
1579,147000,152844.7492
1960,124500,181426.9047
2291,215000,206258.1211
1245,208300,127788.4765
1519,161000,148343.6224
2032,124500,186828.2569
2013,164900,185402.9001
1368,202665,137015.7865
1385,129900,138291.1058
1416,134000,140616.688
789,96500,93579.91251
3456,402861,293655.0006
2119,158000,193354.8908
2344,265000,210234.1165
2502,211000,222087.0838
2080,234000,190429.1584
1294,106250,131464.3968
2021,150000,186003.0503
2063,159000,189153.8391
6936,184750,554720.3573
3117,315750,268223.6339
1266,176000,129363.8709
1305,132000,132289.6033
4043,446261,337691.0248
953,86000,105882.9925
3734,200624,314510.2216
2292,175000,206333.1399
1362,128000,136565.6738
827,107500,96430.62618
334,39300,59446.36731
1414,178000,140466.6504
2316,107500,208133.5906
1724,188000,163722.4724
1464,111250,144217.5895
1832,158000,171824.5008
2959,272000,256370.6666
3098,315000,266798.2771
2285,248000,205808.0084
1824,213250,171224.3505
1351,133000,135740.4673
2050,179665,188178.5949
3185,229000,273324.911
1935,210000,179551.4352
1387,129500,138441.1434
1005,125000,109783.9691
2094,263000,191479.4213
1628,140000,156520.6695
1236,112500,127113.3075
1717,255500,163197.341
1126,108000,118861.2416
2912,284000,252844.7839
1048,113000,113009.7767
1987,141000,183452.4118
1973,108000,182402.1488
2050,175000,188178.5949
1557,234000,151194.3361
2694,121500,236490.6897
2460,170000,218936.295
1286,108000,130864.2465
1674,185000,159971.5334
3023,268000,261171.8685
1647,128000,157946.0263
2504,325000,222237.1214
1537,214000,149693.9605
3573,316600,302432.1979
1886,135960,175875.5149
1959,142600,181351.8859
1278,120000,130264.0963
1692,224500,161321.8715
1430,170000,141666.9509
1458,139000,143767.4768
1658,118500,158771.2329
1477,145000,145192.8336
1648,164500,158021.0451
1392,146000,138816.2373
1795,131500,169048.8059
2023,181900,186153.0879
2042,253293,187578.4447
1632,118500,156820.7446
2775,325000,242567.2109
1573,133000,152394.6366
3488,369900,296055.6016
1048,130000,113009.7767
1532,137000,149318.8666
2797,143000,244217.6241
779,79500,92829.72471
2072,185900,189829.0081
3634,451950,307008.3435
1632,138000,156820.7446
1533,140000,149393.8853
924,110000,103707.4479
3248,319000,278051.0942
1368,114504,137015.7865
1402,194201,139566.4251
2930,217500,254195.1219
1637,151000,157195.8385
2450,275000,218186.1072
1375,141000,137540.918
2704,220000,237240.8775
1200,151000,124412.6314
2416,221000,215635.4687
2440,205000,217435.9194
1772,152000,167323.3739
2611,225000,230264.1309
3622,359100,306108.1182
1932,118500,179326.3788
3057,313000,263722.5071
1637,148000,157195.8385
2862,261500,249093.8449
1326,147000,133864.9977
780,75500,92904.74349
1817,137500,170699.219
1966,183200,181877.0174
832,105500,96805.72008
1876,314813,175125.3271
3133,305000,269423.9344
905,67000,102282.0911
3570,240000,302207.1416
1540,135000,149919.0168
1932,168500,179326.3788
2037,165150,187203.3508
1116,160000,118111.0538
1422,139900,141066.8007
2194,153000,198981.2994
2730,135000,239191.3658
1974,168500,182477.1676
1750,124000,165672.9607
1578,209500,152769.7305
2233,82500,201907.0318
1536,139400,149618.9417
2112,144000,192829.7593
3136,200000,269648.9908
800,60000,94405.1191
1387,93000,138441.1434
796,85000,94105.04398
2721,264561,238516.1968
2736,274000,239641.4785
2667,226000,234465.1826
4114,345000,343017.3583
2113,152000,192904.7781
2887,370878,250969.3144
1263,143250,129138.8146
1048,98300,113009.7767
1594,155000,153970.031
1839,155000,172349.6322
761,84500,91479.38665
1665,205950,159296.3644
1510,108000,147668.4534
1716,191000,163122.3222
1469,135000,144592.6834
3809,350000,320136.6302
1092,88000,116310.6031
1859,145500,173850.0078
1502,149000,147068.3031
1458,97500,143767.4768
2123,167000,193654.9659
1935,197900,179551.4352
3809,402000,320136.6302
1392,110000,138816.2373
2101,137500,192004.5528
3818,423000,320811.7992
1936,230500,179626.4539
2567,129000,226963.3046
2817,193500,245717.9997
2425,168000,216310.6377
1180,137500,122912.2558
1669,173500,159596.4395
1920,103600,178426.1535
1975,165000,182552.1864
3025,257500,261321.9061
2028,140000,186528.1818
1752,148500,165822.9983
1774,87000,167473.4115
792,109500,93804.96886
2046,372500,187878.5198
1815,128500,170549.1815
1466,143000,144367.627
1702,159434,162072.0593
2294,173000,206483.1774
2727,285000,238966.3095
1839,221000,172349.6322
2918,207500,253294.8966
1761,227875,166498.1673
1341,148800,134990.2794
2364,392000,211734.4921
1382,194700,138066.0495
1545,141000,150294.1107
5771,755000,467323.4778
3484,335000,295755.5264
1073,108480,114885.2462
1539,141500,149843.998
2117,176000,193204.8533
1232,89000,126813.2324
1358,123500,136265.5987
1447,138500,142942.2702
1407,196000,139941.519
3074,312500,264997.8264
1164,140000,121711.9553
2576,361919,227638.4736
1812,140000,170324.1251
2196,213000,199131.3369
1092,55000,116310.6031
3043,302000,262672.2442
2187,254000,198456.1679
1456,179540,143617.4392
904,109900,102207.0723
729,52000,89078.78567
1178,102776,122762.2182
1995,189000,184052.562
1749,129000,165597.942
2012,130500,185327.8813
1350,165000,135665.4485
2554,159500,225988.0604
2262,157000,204082.5764
3591,341000,303782.536
1494,128500,146468.1529
2890,275000,251194.3707
1510,143000,147668.4534
1055,124500,113534.9082
1470,135000,144667.7022
2932,320000,254345.1595
1239,120500,127338.3638
2488,222000,221036.8209
1956,194500,181126.8296
1776,110000,167623.449
